,experiment,group,phase,hours_post_cfc,metric,trial,score
0,A,behavior,training,1,freezing,1,23.54
1,A,behavior,training,1,freezing,2,10.93
2,A,behavior,training,1,freezing,3,11.66
3,A,behavior,training,1,freezing,4,44.35
4,A,behavior,training,1,freezing,5,39.76
5,A,behavior,training,1,freezing,6,29.78
6,A,behavior,training,1,freezing,7,33.45
7,A,behavior,training,1,freezing,8,45.56
8,A,behavior,training,1,freezing,9,50.22
9,A,behavior,training,1,freezing,10,48.22
10,A,behavior,training,1,freezing,11,38.78
11,A,behavior,recall-training,1,freezing,1,54.34
12,A,behavior,recall-training,1,freezing,2,60.12
13,A,behavior,recall-training,1,freezing,3,38.76
14,A,behavior,recall-training,1,freezing,4,29.45
15,A,behavior,recall-training,1,freezing,5,24.56
16,A,behavior,recall-training,1,freezing,6,29.54
17,A,behavior,recall-training,1,freezing,7,41.03
18,A,behavior,recall-training,1,freezing,8,50.43
19,A,behavior,recall-training,1,freezing,9,54.6
20,A,behavior,recall-training,1,freezing,10,59.23
21,A,behavior,recall-training,1,freezing,11,55.43
22,A,behavior,recall-novel,1,freezing,1,13.45
23,A,behavior,recall-novel,1,freezing,2,67.65
24,A,behavior,recall-novel,1,freezing,3,29.42
25,A,behavior,recall-novel,1,freezing,4,59.32
26,A,behavior,recall-novel,1,freezing,5,60.42
27,A,behavior,recall-novel,1,freezing,6,32.34
28,A,behavior,recall-novel,1,freezing,7,23.56
29,A,behavior,recall-novel,1,freezing,8,59.23
30,A,behavior,recall-novel,1,freezing,9,61.23
31,A,behavior,recall-novel,1,freezing,10,34.5
32,A,behavior,recall-novel,1,freezing,11,30.12
33,A,behavior,recall-discrimination,1,freezing,1,0.603186311
34,A,behavior,recall-discrimination,1,freezing,2,-0.058934022
35,A,behavior,recall-discrimination,1,freezing,3,0.13699032
36,A,behavior,recall-discrimination,1,freezing,4,-0.336487552
37,A,behavior,recall-discrimination,1,freezing,5,-0.421981643
38,A,behavior,recall-discrimination,1,freezing,6,-0.045248869
39,A,behavior,recall-discrimination,1,freezing,7,0.270475306
40,A,behavior,recall-discrimination,1,freezing,8,-0.080248039
41,A,behavior,recall-discrimination,1,freezing,9,-0.057239057
42,A,behavior,recall-discrimination,1,freezing,10,0.263842953
43,A,behavior,recall-discrimination,1,freezing,11,0.29585038
44,A,behavior,training,5,freezing,1,7.99
45,A,behavior,training,5,freezing,2,44.32
46,A,behavior,training,5,freezing,3,23.99
47,A,behavior,training,5,freezing,4,30.53
48,A,behavior,training,5,freezing,5,41.23
49,A,behavior,training,5,freezing,6,21.22
50,A,behavior,training,5,freezing,7,19.34
51,A,behavior,training,5,freezing,8,52.42
52,A,behavior,training,5,freezing,9,10.21
53,A,behavior,training,5,freezing,10,28.43
54,A,behavior,training,5,freezing,11,22.12
55,A,behavior,recall-training,5,freezing,1,68.23
56,A,behavior,recall-training,5,freezing,2,34.56
57,A,behavior,recall-training,5,freezing,3,49.12
58,A,behavior,recall-training,5,freezing,4,50.12
59,A,behavior,recall-training,5,freezing,5,60.22
60,A,behavior,recall-training,5,freezing,6,70.91
61,A,behavior,recall-training,5,freezing,7,28.78
62,A,behavior,recall-training,5,freezing,8,31.23
63,A,behavior,recall-training,5,freezing,9,44.56
64,A,behavior,recall-training,5,freezing,10,34.65
65,A,behavior,recall-training,5,freezing,11,53.23
66,A,behavior,recall-novel,5,freezing,1,52.23
67,A,behavior,recall-novel,5,freezing,2,10.23
68,A,behavior,recall-novel,5,freezing,3,55.23
69,A,behavior,recall-novel,5,freezing,4,48.9
70,A,behavior,recall-novel,5,freezing,5,47.32
71,A,behavior,recall-novel,5,freezing,6,29.34
72,A,behavior,recall-novel,5,freezing,7,30.55
73,A,behavior,recall-novel,5,freezing,8,59.65
74,A,behavior,recall-novel,5,freezing,9,28.87
